date,Export Quantity,Import Quantity,Area harvested,Production,Yield
2013-06-01,51.9875,6672.2625,6181.083333333333,42539.625,6883.466666666667
2013-07-01,62.38499999999999,6871.3150000000005,6236.5,42896.15,6879.5
2013-08-01,72.7825,7070.3675,6291.916666666667,43252.675,6875.533333333333
2013-09-01,83.17999999999999,7269.42,6347.333333333333,43609.200000000004,6871.566666666667
2013-10-01,93.57749999999999,7468.4725,6402.75,43965.725000000006,6867.6
2013-11-01,103.975,7667.525,6458.166666666667,44322.25,6863.633333333333
2013-12-01,114.37249999999999,7866.5775,6513.583333333333,44678.775,6859.666666666666
2014-01-01,124.77,8065.63,6569.0,45035.3,6855.7
2014-02-01,281.7291666666667,8108.8625,6614.833333333333,45009.275,6807.908333333333
2014-03-01,438.68833333333333,8152.095,6660.666666666667,44983.25,6760.116666666667
2014-04-01,595.6475,8195.3275,6706.5,44957.225000000006,6712.325
2014-05-01,752.6066666666667,8238.56,6752.333333333333,44931.200000000004,6664.533333333333
2014-06-01,909.5658333333333,8281.7925,6798.166666666667,44905.175,6616.741666666667
2014-07-01,1066.525,8325.025,6844.0,44879.15,6568.95
2014-08-01,1223.4841666666666,8368.2575,6889.833333333333,44853.125,6521.158333333333
2014-09-01,1380.4433333333334,8411.49,6935.666666666667,44827.1,6473.366666666667
2014-10-01,1537.4025000000001,8454.7225,6981.5,44801.075,6425.575
2014-11-01,1694.3616666666667,8497.955,7027.333333333333,44775.05,6377.783333333333
2014-12-01,1851.3208333333334,8541.1875,7073.166666666667,44749.025,6329.991666666667
2015-01-01,2008.28,8584.42,7119.0,44723.0,6282.2
2015-02-01,1841.925,8310.758333333333,7155.0,45198.2825,6315.224999999999
2015-03-01,1675.57,8037.096666666666,7191.0,45673.565,6348.25
2015-04-01,1509.2150000000001,7763.4349999999995,7227.0,46148.8475,6381.275
2015-05-01,1342.8600000000001,7489.7733333333335,7263.0,46624.13,6414.3
2015-06-01,1176.505,7216.111666666667,7299.0,47099.4125,6447.325
2015-07-01,1010.1500000000001,6942.45,7335.0,47574.695,6480.35
2015-08-01,843.7950000000001,6668.788333333333,7371.0,48049.9775,6513.375
2015-09-01,677.44,6395.126666666667,7407.0,48525.26,6546.4
2015-10-01,511.08500000000004,6121.465,7443.0,49000.542499999996,6579.425
2015-11-01,344.73,5847.803333333333,7479.0,49475.825,6612.45
2015-12-01,178.375,5574.141666666666,7515.0,49951.1075,6645.475
2016-01-01,12.02,5300.48,7551.0,50426.39,6678.5
2016-02-01,11.181666666666667,5287.1433333333325,7598.083333333333,50946.495,6703.783333333333
2016-03-01,10.343333333333334,5273.806666666666,7645.166666666667,51466.6,6729.066666666667
2016-04-01,9.504999999999999,5260.469999999999,7692.25,51986.705,6754.35
2016-05-01,8.666666666666666,5247.133333333333,7739.333333333333,52506.81,6779.633333333333
2016-06-01,7.828333333333333,5233.796666666666,7786.416666666667,53026.915,6804.916666666666
2016-07-01,6.99,5220.459999999999,7833.5,53547.020000000004,6830.2
2016-08-01,6.151666666666666,5207.123333333333,7880.583333333333,54067.125,6855.483333333334
2016-09-01,5.3133333333333335,5193.786666666666,7927.666666666667,54587.23,6880.766666666666
2016-10-01,4.4750000000000005,5180.45,7974.75,55107.335,6906.049999999999
2016-11-01,3.6366666666666667,5167.113333333333,8021.833333333333,55627.44,6931.333333333333
2016-12-01,2.798333333333334,5153.776666666667,8068.916666666667,56147.545,6956.616666666667
2017-01-01,1.96,5140.44,8116.0,56667.65,6981.9
2017-02-01,2.695,5302.700833333333,8148.0,56903.67916666667,6983.408333333333
2017-03-01,3.4299999999999997,5464.961666666666,8180.0,57139.708333333336,6984.916666666666
2017-04-01,4.165,5627.2225,8212.0,57375.7375,6986.424999999999
2017-05-01,4.9,5789.483333333333,8244.0,57611.76666666667,6987.933333333333
2017-06-01,5.635,5951.744166666666,8276.0,57847.79583333334,6989.441666666667
2017-07-01,6.37,6114.004999999999,8308.0,58083.825,6990.95
2017-08-01,7.1049999999999995,6276.265833333333,8340.0,58319.854166666664,6992.458333333333
2017-09-01,7.84,6438.526666666667,8372.0,58555.88333333333,6993.966666666666
2017-10-01,8.575,6600.787499999999,8404.0,58791.9125,6995.475
2017-11-01,9.309999999999999,6763.048333333333,8436.0,59027.941666666666,6996.983333333334
2017-12-01,10.044999999999998,6925.309166666666,8468.0,59263.97083333333,6998.491666666667
2018-01-01,10.78,7087.57,8500.0,59500.0,7000.0
2018-02-01,17.31583333333333,6780.6825,8633.916666666666,60533.5,7009.508333333333
2018-03-01,23.851666666666667,6473.795,8767.833333333334,61567.0,7019.016666666666
2018-04-01,30.387499999999996,6166.907499999999,8901.75,62600.5,7028.525
2018-05-01,36.92333333333333,5860.0199999999995,9035.666666666666,63634.0,7038.033333333334
2018-06-01,43.45916666666666,5553.1325,9169.583333333334,64667.5,7047.541666666667
2018-07-01,49.995,5246.245,9303.5,65701.0,7057.05
2018-08-01,56.530833333333334,4939.3575,9437.416666666666,66734.5,7066.558333333333
2018-09-01,63.06666666666666,4632.469999999999,9571.333333333334,67768.0,7076.066666666667
2018-10-01,69.60249999999999,4325.5825,9705.25,68801.5,7085.575000000001
2018-11-01,76.13833333333332,4018.6949999999997,9839.166666666666,69835.0,7095.083333333334
2018-12-01,82.67416666666666,3711.8075,9973.083333333334,70868.5,7104.591666666667
2019-01-01,89.21,3404.92,10107.0,71902.0,7114.1
2019-02-01,83.38,3726.0808333333334,10113.5,72065.08333333333,7125.566666666667
2019-03-01,77.55,4047.241666666667,10120.0,72228.16666666667,7137.033333333334
2019-04-01,71.72,4368.4025,10126.5,72391.25,7148.5
