CPI,Exchange Rate,GDP Deflator,GDP Growth,Agricultural Land,Cereal Yield,Fertilizer Consumption,Rural Population,Employment in Agriculture,Access to Electricity,Inflation Rate,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,holidays
134.91155929148715,94.94708061973438,119.23481678898342,4.561123867630206,28.7478200209278,2696.775,59.83063526958212,82.03208333333333,65.76669755674527,80.525,8.758492943101055,24.273333333333333,19.173333333333336,21.316666666666666,550.0,6.596666666666667,420.21,84.03,1
135.820242071135,95.31961798217155,120.0073642130805,4.76831800689795,28.7478200209278,2700.3500000000004,60.9077367795061,82.0015,65.71701012342955,81.15,8.702158907885995,23.783870967741933,19.48709677419355,21.135483870967743,620.7,6.287096774193548,375.16,74.59,1
136.72892485078285,95.69215534460872,120.77991163717758,4.975512146165693,28.7478200209278,2703.925,61.98483828943009,81.97091666666667,65.66732269011382,81.775,8.645824872670934,23.929032258064513,18.893548387096775,20.906451612903226,415.8,6.041935483870968,431.83,84.34,3
137.63760763043067,96.06469270704591,121.55245906127466,5.1827062854334365,28.7478200209278,2707.5,63.06193979935407,81.94033333333333,65.6176352567981,82.4,8.589490837455873,24.0,18.02,20.58,217.9,6.1866666666666665,480.53,91.87,5
138.54629041007848,96.43723006948308,122.32500648537174,5.38990042470118,28.7478200209278,2711.0750000000003,64.13904130927806,81.90975,65.56794782348237,83.025,8.533156802240812,21.06451612903226,15.274193548387096,17.848387096774193,238.2,5.403225806451613,398.57,73.17999999999999,6
139.45497318972633,96.80976743192025,123.09755390946883,5.597094563968923,28.7478200209278,2714.65,65.21614281920203,81.87916666666666,65.51826039016665,83.65,8.476822767025752,18.34,10.576666666666666,14.110000000000001,4.3,6.286666666666666,435.28,72.67,3
140.36365596937418,97.18230479435744,123.87010133356591,5.804288703236667,28.7478200209278,2718.2250000000004,66.29324432912603,81.84858333333334,65.46857295685092,84.275,8.420488731810691,15.383870967741935,7.706451612903226,11.116129032258065,5.1,6.419354838709677,396.45,61.33,2
141.272338749022,97.5548421567946,124.642648757663,6.01148284250441,28.7478200209278,2721.8,67.37034583905,81.818,65.4188855235352,84.9,8.36415469659563,15.390322580645162,6.564516129032258,10.683870967741935,16.2,6.732258064516128,432.99,67.15,2
142.19872139202567,97.95903317134139,125.10061134207791,5.841863711598185,28.7478200209278,2715.641666666667,67.93232877576445,81.78675,65.37388774897632,84.65833333333333,8.322884218205077,16.282142857142855,6.5249999999999995,11.432142857142859,41.0,7.310714285714285,445.42,72.2,3
143.12510403502932,98.36322418588817,125.55857392649283,5.67224458069196,28.7478200209278,2709.4833333333336,68.4943117124789,81.7555,65.32888997441742,84.41666666666667,8.281613739814524,20.274193548387096,8.925806451612903,14.935483870967742,29.0,8.925806451612903,650.16,116.46000000000001,3
144.051486678033,98.76741520043495,126.01653651090774,5.502625449785735,28.7478200209278,2703.3250000000003,69.05629464919335,81.72425,65.28389219985854,84.17500000000001,8.24034326142397,25.36,12.506666666666666,19.633333333333333,17.7,9.8,715.13,146.52,4
144.97786932103668,99.17160621498174,126.47449909532266,5.3330063188795105,28.7478200209278,2697.166666666667,69.6182775859078,81.693,65.23889442529966,83.93333333333334,8.199072783033417,25.88064516129032,16.61935483870968,21.33225806451613,174.0,8.30967741935484,712.41,144.37,3
145.90425196404033,99.57579722952852,126.93246167973757,5.163387187973285,28.7478200209278,2691.0083333333337,70.18026052262225,81.66175,65.19389665074078,83.69166666666666,8.157802304642864,25.053333333333335,18.96333333333333,21.67,503.7,6.59,522.49,103.31,1
146.830634607044,99.9799882440753,127.3904242641525,4.99376805706706,28.7478200209278,2684.8500000000004,70.74224345933669,81.6305,65.1488988761819,83.45,8.11653182625231,23.94516129032258,19.570967741935487,21.309677419354838,565.4,6.193548387096774,403.57,79.88,1
147.75701725004768,100.38417925862208,127.84838684856742,4.824148926160835,28.7478200209278,2678.6916666666666,71.30422639605115,81.59925,65.10390110162301,83.20833333333334,8.075261347861757,23.651612903225807,19.116129032258065,20.929032258064513,873.5,6.229032258064516,382.68,75.49,4
148.68339989305133,100.78837027316887,128.30634943298233,4.65452979525461,28.7478200209278,2672.5333333333333,71.86620933276559,81.568,65.05890332706413,82.96666666666667,8.033990869471204,23.2,17.9,20.029999999999998,280.6,6.233333333333333,416.23,79.53,5
149.609782536055,101.19256128771565,128.76431201739723,4.484910664348385,28.7478200209278,2666.375,72.42819226948005,81.53675,65.01390555250525,82.725,7.992720391080651,21.448387096774194,13.764516129032257,17.338709677419356,112.80000000000001,5.741935483870968,504.49,90.88,7
150.53616517905868,101.59675230226243,129.22227460181216,4.31529153344216,28.7478200209278,2660.2166666666667,72.9901752061945,81.5055,64.96890777794636,82.48333333333333,7.951449912690097,17.94,11.389999999999999,14.233333333333333,3.7,6.4,387.05,65.06,3
151.46254782206233,102.00094331680921,129.68023718622706,4.145672402535935,28.7478200209278,2654.0583333333334,73.55215814290895,81.47425,64.92391000338748,82.24166666666667,7.910179434299543,16.080645161290324,8.051612903225806,11.66451612903226,22.8,6.4,394.23,61.69,2
152.388930465066,102.405134331356,130.138199770642,3.97605327162971,28.7478200209278,2647.9,74.1141410796234,81.443,64.8789122288286,82.0,7.86890895590899,14.890322580645162,6.577419354838709,10.40967741935484,40.9,6.45483870967742,417.49,64.22,2
