date,Export Quantity,Import Quantity,Area harvested,Production,Yield
2013-06-01,1298.225,179180.425,200771.91666666666,2743375.5833333335,13663.591666666667
2013-07-01,1474.07,180215.31,201479.5,2753966.5,13668.15
2013-08-01,1649.915,181250.195,202187.08333333334,2764557.4166666665,13672.708333333332
2013-09-01,1825.76,182285.08,202894.66666666666,2775148.3333333335,13677.266666666666
2013-10-01,2001.605,183319.965,203602.25,2785739.25,13681.825
2013-11-01,2177.45,184354.85,204309.83333333334,2796330.1666666665,13686.383333333333
2013-12-01,2353.295,185389.735,205017.41666666666,2806921.0833333335,13690.941666666666
2014-01-01,2529.14,186424.62,205725.0,2817512.0,13695.5
2014-02-01,2347.920833333333,186658.75166666665,205001.0,2798243.2316666665,13648.033333333333
2014-03-01,2166.7016666666664,186892.88333333333,204277.0,2778974.4633333334,13600.566666666666
2014-04-01,1985.4824999999998,187127.015,203553.0,2759705.695,13553.1
2014-05-01,1804.2633333333333,187361.14666666667,202829.0,2740436.9266666668,13505.633333333333
2014-06-01,1623.0441666666666,187595.27833333332,202105.0,2721168.158333333,13458.166666666666
2014-07-01,1441.8249999999998,187829.41,201381.0,2701899.3899999997,13410.7
2014-08-01,1260.6058333333333,188063.5416666667,200657.0,2682630.6216666666,13363.233333333334
2014-09-01,1079.3866666666665,188297.67333333334,199933.0,2663361.853333333,13315.766666666666
2014-10-01,898.1674999999998,188531.805,199209.0,2644093.085,13268.3
2014-11-01,716.9483333333333,188765.93666666668,198485.0,2624824.3166666664,13220.833333333332
2014-12-01,535.7291666666665,189000.06833333336,197761.0,2605555.5483333333,13173.366666666667
2015-01-01,354.51,189234.2,197037.0,2586286.78,13125.9
2015-02-01,344.7008333333333,193852.54833333334,197281.5,2604561.3616666663,13201.233333333334
2015-03-01,334.89166666666665,198470.89666666667,197526.0,2622835.9433333334,13276.566666666666
2015-04-01,325.0825,203089.245,197770.5,2641110.525,13351.9
2015-05-01,315.2733333333333,207707.59333333335,198015.0,2659385.1066666665,13427.233333333334
2015-06-01,305.46416666666664,212325.94166666668,198259.5,2677659.688333333,13502.566666666666
2015-07-01,295.655,216944.29,198504.0,2695934.2699999996,13577.9
2015-08-01,285.84583333333336,221562.63833333334,198748.5,2714208.8516666666,13653.233333333334
2015-09-01,276.0366666666667,226180.98666666666,198993.0,2732483.433333333,13728.566666666666
2015-10-01,266.2275,230799.33500000002,199237.5,2750758.0149999997,13803.9
2015-11-01,256.41833333333335,235417.68333333335,199482.0,2769032.5966666667,13879.233333333334
2015-12-01,246.60916666666668,240036.03166666668,199726.5,2787307.178333333,13954.566666666666
2016-01-01,236.8,244654.38,199971.0,2805581.76,14029.9
2016-02-01,230.29833333333335,248500.1775,199483.0,2796036.3808333334,14016.0
2016-03-01,223.79666666666668,252345.975,198995.0,2786491.0016666665,14002.1
2016-04-01,217.29500000000002,256191.77250000002,198507.0,2776945.6224999996,13988.2
2016-05-01,210.79333333333335,260037.57,198019.0,2767400.243333333,13974.3
2016-06-01,204.29166666666669,263883.3675,197531.0,2757854.8641666668,13960.4
2016-07-01,197.79000000000002,267729.16500000004,197043.0,2748309.485,13946.5
