Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2018","2018","ha","195268","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2018","2018","kg/ha","15814.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2018","2018","t","3088000","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2019","2019","ha","193997","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2019","2019","kg/ha","16046.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2019","2019","t","3112947","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2020","2020","ha","188098","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2020","2020","kg/ha","16650","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2020","2020","t","3131830","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2021","2021","ha","198788","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2021","2021","kg/ha","16727.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2021","2021","t","3325231","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5312","Area harvested","01510","Potatoes","2022","2022","ha","198253","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2022","2022","kg/ha","17204.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","01510","Potatoes","2022","2022","t","3410829","A","Official figure",""
